voivodeship,lon,lat
śląskie,18.920616,50.324474
opolskie,17.87957909090909,50.61812515151515
wielkopolskie,17.248567,52.213287
zachodniopomorskie,15.552499999999998,53.5972
świętokrzyskie,20.7867,50.763999999999996
kujawsko-pomorskie,18.504649999999998,53.05585
podlaskie,22.923747,53.241434
dolnośląskie,16.418838223140494,51.05199111570247
podkarpackie,22.179033928571418,49.96743124999999
małopolskie,20.2524,49.847899999999996
pomorskie,18.173900000000003,54.1637
warmińsko-mazurskie,20.814117,53.798029
łódzkie,19.366500000000002,51.61865
mazowieckie,21.1938,52.24745
lubelskie,22.855377,51.178300
lubuskie,15.255278,52.204588